width_height,device,user,new_user,session,bounce_rate,page_session,avg_session_time,conversion,target_completion,target_value
1920x1080,desktop,283,259,346,37.28%,2.32,00:00:53,0.00%,0,$0.00
1440x900,desktop,227,207,273,34.43%,2.22,00:01:35,0.00%,0,$0.00
1680x1050,desktop,110,102,135,26.67%,3.18,00:01:43,0.00%,0,$0.00
2560x1440,desktop,78,76,104,41.35%,2.09,00:00:40,0.00%,0,$0.00
1920x1200,desktop,75,71,100,34.00%,2.41,00:02:01,0.00%,0,$0.00
375x667,mobile,55,49,73,24.66%,2.93,00:01:44,0.00%,0,$0.00
1280x800,desktop,50,44,58,36.21%,2.02,00:01:08,0.00%,0,$0.00
1366x768,desktop,38,36,45,35.56%,2.04,00:00:04,0.00%,0,$0.00
375x812,mobile,28,23,35,31.43%,3.00,00:02:03,0.00%,0,$0.00
360x640,mobile,20,19,30,23.33%,3.03,00:01:34,0.00%,0,$0.00
1280x1024,desktop,17,17,23,26.09%,5.00,00:02:29,0.00%,0,$0.00
414x736,mobile,17,12,20,40.00%,2.40,00:00:59,0.00%,0,$0.00
1536x864,desktop,15,14,24,20.83%,2.33,00:02:38,0.00%,0,$0.00
1600x900,desktop,12,11,14,42.86%,1.57,00:00:03,0.00%,0,$0.00
320x568,mobile,12,10,14,28.57%,3.21,00:01:06,0.00%,0,$0.00
2048x1152,desktop,11,11,13,15.38%,2.54,00:02:02,0.00%,0,$0.00
3840x2160,desktop,10,10,12,50.00%,1.67,00:01:04,0.00%,0,$0.00
1280x720,desktop,9,9,16,12.50%,2.38,00:00:25,0.00%,0,$0.00
2560x1080,desktop,9,9,11,63.64%,1.73,00:01:51,0.00%,0,$0.00
2000x2000,mobile,8,8,8,0.00%,2.00,<00:00:01,0.00%,0,$0.00
2048x1280,desktop,7,7,7,42.86%,1.86,00:01:46,0.00%,0,$0.00
414x896,mobile,7,7,10,30.00%,2.00,00:00:16,0.00%,0,$0.00
3008x1692,desktop,5,5,5,20.00%,2.20,00:00:02,0.00%,0,$0.00
768x1024,tablet,5,5,6,33.33%,2.00,00:02:54,0.00%,0,$0.00
1080x1920,desktop,4,4,4,0.00%,2.50,00:03:35,0.00%,0,$0.00
3440x1440,desktop,4,4,4,25.00%,2.00,00:00:02,0.00%,0,$0.00
360x720,mobile,4,4,4,50.00%,2.00,00:00:03,0.00%,0,$0.00
393x786,mobile,4,4,4,0.00%,5.00,00:00:41,0.00%,0,$0.00
412x732,mobile,4,4,4,0.00%,3.25,00:00:14,0.00%,0,$0.00
2880x1620,desktop,3,3,4,50.00%,1.50,<00:00:01,0.00%,0,$0.00
3072x1728,desktop,3,3,3,0.00%,2.33,00:00:07,0.00%,0,$0.00
834x1112,tablet,3,3,3,33.33%,2.00,00:00:07,0.00%,0,$0.00
1024x1366,tablet,2,2,2,0.00%,2.00,00:00:04,0.00%,0,$0.00
1024x800,desktop,2,2,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
1368x768,desktop,2,2,2,0.00%,8.50,00:13:10,0.00%,0,$0.00
1368x912,desktop,2,2,2,0.00%,2.00,00:00:01,0.00%,0,$0.00
1829x1029,desktop,2,2,2,50.00%,1.50,00:01:41,0.00%,0,$0.00
2000x2000,desktop,2,2,2,0.00%,2.00,00:00:00,0.00%,0,$0.00
2304x1296,desktop,2,2,2,0.00%,8.50,00:04:51,0.00%,0,$0.00
3200x1800,desktop,2,2,2,50.00%,1.50,00:00:00,0.00%,0,$0.00
360x640,tablet,2,2,2,0.00%,2.50,00:00:45,0.00%,0,$0.00
360x740,mobile,2,2,2,0.00%,17.00,00:00:40,0.00%,0,$0.00
360x749,mobile,2,2,2,50.00%,1.50,00:00:00,0.00%,0,$0.00
360x760,mobile,2,2,2,50.00%,2.00,00:00:15,0.00%,0,$0.00
3840x1600,desktop,2,2,3,100.00%,1.00,00:00:00,0.00%,0,$0.00
412x823,mobile,2,2,2,50.00%,2.00,00:00:04,0.00%,0,$0.00
412x846,mobile,2,2,4,0.00%,4.25,00:07:10,0.00%,0,$0.00
412x869,mobile,2,2,2,50.00%,2.00,00:00:08,0.00%,0,$0.00
1080x2560,desktop,1,1,1,0.00%,2.00,00:00:02,0.00%,0,$0.00
1093x614,desktop,1,1,4,0.00%,5.25,00:09:17,0.00%,0,$0.00
1098x618,desktop,1,1,1,0.00%,2.00,00:00:01,0.00%,0,$0.00
1200x1920,desktop,1,1,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
1200x800,desktop,1,1,1,0.00%,3.00,00:11:10,0.00%,0,$0.00
1400x1050,desktop,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
1440x960,desktop,1,1,1,0.00%,2.00,00:00:05,0.00%,0,$0.00
1440x960,tablet,1,1,1,0.00%,2.00,00:01:39,0.00%,0,$0.00
1463x823,desktop,1,1,1,0.00%,2.00,00:00:01,0.00%,0,$0.00
1564x1043,desktop,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
1600x1200,desktop,1,1,1,0.00%,6.00,00:02:16,0.00%,0,$0.00
1620x1080,desktop,1,1,2,100.00%,1.00,00:00:00,0.00%,0,$0.00
1707x960,desktop,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
2880x1800,desktop,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
360x720,tablet,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
393x699,mobile,1,1,1,0.00%,2.00,00:01:08,0.00%,0,$0.00
4096x2304,desktop,1,1,1,0.00%,3.00,00:22:53,0.00%,0,$0.00
412x660,mobile,1,1,1,0.00%,2.00,00:00:01,0.00%,0,$0.00
412x846,tablet,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
414x803,mobile,1,1,1,0.00%,2.00,00:00:20,0.00%,0,$0.00
424x753,mobile,1,1,1,0.00%,7.00,00:00:13,0.00%,0,$0.00
424x753,tablet,1,1,1,0.00%,2.00,00:00:01,0.00%,0,$0.00
432x768,mobile,1,1,1,0.00%,6.00,00:03:00,0.00%,0,$0.00
438x854,mobile,1,1,1,0.00%,2.00,00:00:00,0.00%,0,$0.00
600x960,tablet,1,1,1,0.00%,7.00,00:00:33,0.00%,0,$0.00
800x600,desktop,1,1,1,100.00%,1.00,00:00:00,0.00%,0,$0.00
834x1194,tablet,1,1,1,0.00%,6.00,00:00:30,0.00%,0,$0.00
